name,address,industry,hourly_median_gender_gap_2018,bonus_median_gender_gap_2018
AVIVA EMPLOYMENT SERVICES LIMITED,"St++Helen's,+1+Undershaft,London,EC3P+3DQ",Other service activities n.e.c.,26.4,38.6
AVIVA INVESTORS EMPLOYMENT SERVICES LIMITED,"St+Helen's,+1+Undershaft,London,United+Kingdom,EC3P+3DQ",Other business support service activities n.e.c.,21.0,55.6
AXA GLOBAL HEALTHCARE (UK) LIMITED,"5,+Old+Broad+Street,London,EC2N+1AD",,-0.5,19.9
AXA GLOBAL SERVICES UK LIMITED,"5+Old+Broad+Street,London,United+Kingdom,EC2N+1AD",Other information technology service activities,21.0,29.0
AXA ICAS LIMITED,"5+Old+Broad+Street,London,EC2N+1AD",Other activities auxiliary to insurance and pension funding,3.2,44.3
AXA INVESTMENT MANAGERS LIMITED,"7+Newgate+Street,London,United+Kingdom,EC1A+7NX",Activities of head offices,27.2,63.2
AXA PPP HEALTHCARE GROUP LIMITED,"5+Old+Broad+Street,London,United+Kingdom,EC2N+1AD",Activities of financial services holding companies,7.6,25.5
AXA SERVICES LIMITED,"5+Old+Broad+Street,London,United+Kingdom,EC2N+1AD",Other business support service activities n.e.c.,27.0,30.4
AXA UK PLC,"5+Old+Broad+Street,London,EC2N+1AD",Activities of head offices,20.4,32.8
BAKER & MCKENZIE SERVICES LIMITED,"100+New+Bridge+Street,London,United+Kingdom,EC4V+6JA",Other business support service activities n.e.c.,32.0,29.3
BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED,"2+King+Edward+Street,London,United+Kingdom,EC1A+1HQ",Banks,20.8,17.4
BANK OF AMERICA NATIONAL ASSOCIATION,"2,+King+Edward+Street,London,EC1A+1HQ",,46.7,74.4
BANK OF CHINA (UK) LIMITED,"1+Lothbury,London,United+Kingdom,EC2R+7DB",Banks,27.2,19.2
Bank of England,"Threadneedle+Street,London,EC2R+8AH",,24.2,25.6
Bank Of Ireland (UK) PLC,"Bow+Bells+House+1,Bread+Street,London,United+Kingdom,EC4M+9BE",Banks,18.7,0.0
BARBICAN HOLDINGS (UK) LIMITED,"33+Gracechurch+Street,London,City+Of+London,United+Kingdom,EC3V+0BT",Non-life insurance,45.1,25.9
BARNETT WADDINGHAM ACTUARIES AND CONSULTANTS LIMITED,"Cheapside+House,138+Cheapside,London,United+Kingdom,EC2V+6BW",Pension funding,11.4,27.3
BATES WELLS & BRAITHWAITE LONDON LLP,"10,+Queen+Street+Place,London,EC4R+1BE",,23.7,24.5
BEAUTY CONSULTANTS BUREAU (UK) LLP,"130,+Wood+Street,London,EC2V+6DL",,-20.2,24.8
BEAZLEY MANAGEMENT LIMITED,"Plantation+Place+South,60+Great+Tower+Street,London,United+Kingdom,EC3R+5AD",,37.5,52.4
BECHTEL LIMITED,"11+Pilgrim+Street,London,United+Kingdom,EC4V+6RN",,31.3,63.2
Berwin Leighton Paisner (Services),"STEPHEN+WALKER,Adelaide+House,London+Bridge,London,United+Kingdom,EC4R+9HA",Combined office administrative service activities,36.8,32.5
BIG SOCIETY CAPITAL LIMITED,"New+Fetter+Place,+8-10+New+Fetter+Lane,London,England,EC4A+1AZ",Fund management activities,20.5,0.0
BIRD & BIRD (SERVICES) LIMITED,"12+New+Fetter+Lane,London,United+Kingdom,EC4A+1JP",Combined office administrative service activities,27.6,48.9
BLACKROCK ASSET MANAGEMENT INVESTOR SERVICES LIMITED,"12+Throgmorton+Avenue,London,United+Kingdom,EC2N+2DL",Banks,23.0,72.0
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,"12+Throgmorton+Avenue,London,United+Kingdom,EC2N+2DL",Financial intermediation not elsewhere classified,23.0,41.0
Bloomberg LP,"3+Queen+Victoria+Street,London,EC4N+4TQ",Other information service activities n.e.c.,21.9,33.3
BLUEFIN INSURANCE GROUP LIMITED,"1+Tower+Place+West,Tower+Place,London,United+Kingdom,EC3R+5BU",Financial intermediation not elsewhere classified,29.1,65.8
BNP PARIBAS REAL ESTATE ADVISORY & PROPERTY MANAGEMENT UK LIMITED,"5+Aldermanbury+Square,London,United+Kingdom,EC2V+7BP",,46.0,81.0
BOSTON SCIENTIFIC LIMITED,"100+New+Bridge+Street,London,United+Kingdom,EC4V+6JA",,22.0,38.0
BRAND-REX LIMITED,"Cannon+Place,78+Cannon+Street,London,United+Kingdom,EC4N+6AF","Manufacture of wire products, chain and springs",10.0,-738.0
BRETT AGGREGATES LIMITED,"150,+Aldersgate+Street,London,EC1A+4AB",Operation of gravel and sand pits; mining of clays and kaolin,-14.6,68.1
BRETT LANDSCAPING LIMITED,"150+Aldersgate+Street,London,EC1A+4AB",,1.8,41.8
BRIT GROUP SERVICES LIMITED,"The+Leadenhall+Building,122+Leadenhall+Street,London,England,EC3V+4AB",Other business support service activities n.e.c.,31.2,56.3
British Red Cross Society,"Moorfields+House,44+Moorfields,London,London,United+Kingdom,EC2Y+9AL",Activities of distribution holding companies,8.9,64.3
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,"81+Newgate+Street,London,United+Kingdom,EC1A+7AJ",Other telecommunications activities,-2.3,-9.2
BRITISH UNITED PROVIDENT ASSOCIATION LIMITED(THE),"1+Angel+Court,London,United+Kingdom,EC2R+7HJ",Other human health activities,20.2,54.2
Brocade Communications UK Ltd,"Cannon+Place,78+Cannon+Street,London,United+Kingdom,EC4N+6AF",Other information technology service activities,14.0,16.0
BROWN SHIPLEY & CO. LIMITED,"Founders+Court,Lothbury,London,United+Kingdom,EC2R+7HE",Banks,30.5,69.2
BT FACILITIES SERVICES LIMITED,"81+Newgate+Street,London,United+Kingdom,EC1A+7AJ",Other business support service activities n.e.c.,26.1,-250.0
BT FLEET LIMITED,"81+Newgate+Street,London,United+Kingdom,EC1A+7AJ",Maintenance and repair of motor vehicles,2.2,-1193.5
BT MANAGED SERVICES LIMITED,"81+Newgate+Street,London,United+Kingdom,EC1A+7AJ",Other telecommunications activities,10.2,29.8
BT SOUTH TYNESIDE LIMITED,"81+Newgate+Street,London,United+Kingdom,EC1A+7AJ",Other telecommunications activities,36.4,0.0
BTG PLC,"5+Fleet+Place,London,United+Kingdom,EC4M+7RD",Other research and experimental development on natural sciences and engineering,11.4,20.4
BUCK CONSULTANTS LIMITED,"160,+Queen+Victoria+Street,London,EC4V+4AN",Activities of other holding companies n.e.c.,24.5,45.0
BUPA CARE HOMES (AKW) LIMITED,"1+Angel+Court,London,United+Kingdom,EC2R+7HJ",Other service activities n.e.c.,3.1,0.0
BUPA CARE HOMES (ANS) LIMITED,"1+Angel+Court,London,United+Kingdom,EC2R+7HJ",Other service activities n.e.c.,2.2,0.0
BUPA CARE HOMES (BNH) LIMITED,"1+Angel+Court,London,United+Kingdom,EC2R+7HJ",Other service activities n.e.c.,5.0,0.0
BUPA CARE HOMES (CFCHOMES) LIMITED,"1+Angel+Court,London,United+Kingdom,EC2R+7HJ",Other human health activities,1.2,0.0
BUPA CARE HOMES (CFHCARE) LIMITED,"1+Angel+Court,London,United+Kingdom,EC2R+7HJ",Other human health activities,3.0,0.0
BUPA CARE HOMES (GL) LIMITED,"1+Angel+Court,London,United+Kingdom,EC2R+7HJ",Other human health activities,2.1,0.0
BUPA CARE HOMES (PARTNERSHIPS) LIMITED,"1+Angel+Court,London,United+Kingdom,EC2R+7HJ",,0.4,-0.9
BUPA INSURANCE SERVICES LIMITED,"1+Angel+Court,London,United+Kingdom,EC2R+7HJ",Other business support service activities n.e.c.,6.9,11.0
BUPA OCCUPATIONAL HEALTH LIMITED,"1+Angel+Court,London,United+Kingdom,EC2R+7HJ",Other human health activities,28.5,24.7
BUTTERWORTHS LIMITED,"Lexis+House,+30+Farringdon+Street,London,EC4A+4HH",,18.6,90.5
Buzzacott LLP,"130+Wood+Street,London,United+Kingdom,EC2V+6DL",,20.5,24.8
CAMERON FLOW CONTROL TECHNOLOGY (UK) LIMITED,"100+New+Bridge+Street,London,United+Kingdom,EC4V+6JA",Manufacture of other special-purpose machinery n.e.c.,40.5,45.4
CAMPUS LIVING VILLAGES UK LIMITED,"6th,+Floor+One+London+Wall,London,EC2Y+5EB",Management of real estate on a fee or contract basis,15.6,0.3
CANOPIUS SERVICES LIMITED,"Gallery+9,+One+Lime+Street,London,EC3M+7HA",Other service activities n.e.c.,38.8,57.8
CANUTE DISTRIBUTION LIMITED,"St+Bride's+House,10+Salisbury+Square+London,United+Kingdom,EC4Y+8EH",Freight transport by road,2.8,0.3
CAREER LEGAL LIMITED,"4th,+Floor+Camomile+Court,23+Camomile+Street,London,EC3A+7LL",Temporary employment agency activities,16.4,-93.2
CARITAS RECRUITMENT LTD,"222,+Bishopsgate,London,EC2M+4QD",Temporary employment agency activities,0.0,70.7
CARLTON TOWER LIMITED(THE),"71,+Queen+Victoria+Street,London,England,EC4V+4AY",Hotels and similar accommodation,8.6,0.0
CATERING UK LIMITED,"6th+Floor+25+Farringdon+Street,London,United+Kingdom,EC4A+4AB",Unlicensed restaurants and cafes,-3.0,0.0
CBRE CORPORATE OUTSOURCING LIMITED,"St+Martins+Court,+10+Paternoster+Row,London,EC4M+7HP",Management of real estate on a fee or contract basis,39.9,65.3
CBRE LIMITED,"St+Martin's+Court,10+Paternoster+Row,London,United+Kingdom,EC4M+7HP",,38.1,73.3
CBRE MANAGEMENT SERVICES LIMITED,"St+Martin's+Court,10+Paternoster+Row,London,United+Kingdom,EC4M+7HP",Management of real estate on a fee or contract basis,24.8,20.0
CDW LIMITED,"10+Fleet+Place,London,United+Kingdom,EC4M+7RB",Other information service activities n.e.c.,14.3,56.3
CENTURYCOMM LIMITED,"5+Fleet+Place,London,United+Kingdom,EC4M+7RD",,-2.3,-10.6
CENTURYLINK COMMUNICATIONS UK LIMITED,"7th+Floor+10+Fleet+Place,London,United+Kingdom,EC4M+7RB",Other telecommunications activities,22.4,46.1
CHANNEL 5 BROADCASTING LIMITED,"Fieldfisher+Llp+Riverbank+House,+2+Swan+Lane,London,United+Kingdom,EC4R+3TT",Television programme production activities,2.1,-40.3
CHARLES RUSSELL SPEECHLYS SERVICES LIMITED,"5+Fleet+Place,London,United+Kingdom,EC4M+7RD",Other service activities n.e.c.,28.1,40.0
CHARLES STANLEY & CO. LIMITED,"55+Bishopsgate,London,United+Kingdom,EC2N+3AS",Financial intermediation not elsewhere classified,31.9,56.1
Chase De Vere Ifa Group PLC,"60+New+Broad+Street,London,United+Kingdom,EC2M+1JJ",Financial intermediation not elsewhere classified,30.8,84.0
CHAUCER SYNDICATES LIMITED,"Plantation+Place,30+Fenchurch+Street,London,United+Kingdom,EC3M+3AD",,33.0,34.9
CHC SCOTIA LIMITED,"C/O+Cms+Cameron+Mckenna+Llp,78+Cannon+Street,London,United+Kingdom,EC4N+6AF",Non-scheduled passenger air transport,44.4,-5.6
CHESTERTON GLOBAL LIMITED,"St+Magnus+House,3+Lower+Thames+Street,London,England,EC3R+6HD",Real estate agencies,4.0,83.0
CHUBB SERVICES UK LIMITED,"Chubb+Services+UK+Limited,100+Leadenhall+Street,London,EC3A+3BP",Other business support service activities n.e.c.,33.4,49.1
CITY AND GUILDS OF LONDON INSTITUTE,"1+Giltspur+Street,London,EC1A+9DD",,16.0,20.1
City of London Police,"182+Bishopsgate,London,London,EC2M+4NP",,0.3,0.0
Clays Ltd.,"One+Tudor+Street,London,United+Kingdom,EC4Y+0AH",,36.7,100.0
CLYDE UK SERVICES COMPANY,"The+St+Botolph+Building+138,+Houndsditch,London,EC3A+7AR",Other business support service activities n.e.c.,38.2,53.3
CMC Markets PLC,"133+Houndsditch,London,United+Kingdom,EC3A+7BX",Financial intermediation not elsewhere classified,20.8,41.0
CMS CAMERON MCKENNA NABARRO OLSWANG SERVICES LIMITED,"Cannon+Place,78+Cannon+Street,London,United+Kingdom,EC4N+6AF",,32.8,30.4
CNA SERVICES (UK) LIMITED,"20+Fenchurch+Street,London,United+Kingdom,EC3M+3BY",Other business support service activities n.e.c.,34.3,56.9
Commerzbank Aktiengesellschaft,"30+Gresham+Street,LONDON,LONDON,United+Kingdom,EC2V+7PG",,33.9,39.0
COMMUNITY RESOURCING LIMITED,"222,+Bishopsgate,London,EC2M+4QD",Temporary employment agency activities,-3.1,-35.8
CONCUR TECHNOLOGIES (UK) LIMITED,"5+New+Street+Square,London,United+Kingdom,EC4A+3TW",Other software publishing,27.9,51.0
CONDUENT BUSINESS PROCESS SOLUTIONS LIMITED,"160,+Queen+Victoria+Street,London,EC4V+4AN","Data processing, hosting and related activities",3.7,28.0
CONFEDERATION OF BRITISH INDUSTRY,"Cannon+Place,78+Cannon+Street,London,EC4N+6HN",,15.1,0.0
Cooperatieve Rabobank U.A.,"Thames+Court,1+Queenhithe,LONDON,LONDON,UK,EC4V+3RL",,22.2,28.0
CORPORATE TRAVEL MANAGEMENT (UNITED KINGDOM) LIMITED,"1+Carter+Lane,London,England,England,EC4V+5ER",Travel agency activities,11.0,0.0
Corporation of Lloyd's,"One+Lime+Street,London,EC3M+7HA",Other activities auxiliary to insurance and pension funding,32.1,40.7
CRAWFORD & COMPANY ADJUSTERS (UK) LIMITED,"70+Mark+Lane,London,England,EC3R+7NQ",Other activities auxiliary to insurance and pension funding,47.5,50.0
Credit Agricole CIB,"1ST+FLOOR,+BROADWALK+HOUSE,5+APPOLD+STREET,LONDON,LONDON,United+Kingdom,EC2A+2DA",Banks,35.4,65.3
CROWE CLARK WHITEHILL LLP,"St.+Brides+House,+10+Salisbury+Square,London,EC4Y+8EH",,10.2,50.0
Cunningham Lindsey United Kingdom,"60+Fenchurch+Street,London,England,EC3M+4AD",Risk and damage evaluation,33.5,40.0
CURRIE & BROWN UK LIMITED,"40,+Holborn+Viaduct,London,England,EC1N+2PB",Quantity surveying activities,35.6,47.0
CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LIMITED,"125+Old+Broad+Street,London,United+Kingdom,EC2N+1AR",Real estate agencies,38.4,63.0
Cushman & Wakefield LLP,"125+Old+Broad+Street,London,England,EC2N+1AR",,27.8,60.0
DAISYBRIGHT LIMITED,"DAVIES+GROUP+LIMITED,8+Lloyd's+Avenue,London,England,EC3N+3EL",Activities of other holding companies n.e.c.,33.0,43.0
DBOI GLOBAL SERVICES (UK) LIMITED,"Winchester+House,+1+Great+Winchester+Street,London,EC2N+2DB",Other business support service activities n.e.c.,14.2,14.4
DECHERT LLP,"160,+Queen+Victoria+Street,London,EC4V+4QQ",,51.0,72.3
DELAWARE NORTH COMPANIES (UK) LIMITED,"100,+New+Bridge+Street,London,EC4V+6JA",Event catering activities,0.0,4.9
DELOITTE LLP,"2,+New+Street+Square,London,EC4A+3BZ",,12.1,41.2
DELOITTE MCS LIMITED,"Hill+House,+1+Little+New+Street,London,EC4A+3TR",,17.8,38.7
Diamond Resourcing PLC,"29-30+Leadenhall+Market,London,United+Kingdom,EC3V+1LR",Temporary employment agency activities,14.3,66.7
DISHOOM LIMITED,"Tricor+Suite+4th+Floor,50+Mark+Lane,London,United+Kingdom,EC3R+7QR",Licensed restaurants,0.0,3.7
DRAKE & MORGAN LIMITED,"Suite+88+-+90,++Temple+Chambers+3+-+7+Temple+Avenue,London,United+Kingdom,EC4Y+0HP",Public houses and bars,-0.2,6.3
DTZ MANAGEMENT SERVICES LIMITED,"125,+Old+Broad+Street,London,EC2N+1AR",,25.4,50.0
E F LANGUAGE SCHOOLS LIMITED,"Hill+House,1+Little+New+Street,London,United+Kingdom,EC4A+3TR",General secondary education,-4.0,-33.0
E-Act,"10+Queen+Street+Place,London,United+Kingdom,EC4R+1BE",,9.2,0.0
EAGLE PLACE SERVICES LIMITED,"Cannon+Place,78+Cannon+Street,London,England,EC4N+6AF",Other business support service activities n.e.c.,32.5,60.9
EBIQUITY ASSOCIATES LIMITED,"Citypoint,One+Ropemaker+Street,London,United+Kingdom,EC2Y+9AW",Media representation services,34.0,29.0
Ed Broking LLP,"52+Leadenhall+Street,London,England,EC3A+2EB",,39.0,60.0
EDEN BROWN LIMITED,"222,+Bishopsgate,London,EC2M+4QD",Temporary employment agency activities,3.2,2.4
EDM GROUP LIMITED,"Queens+House,8-9+Queen+Street,London,United+Kingdom,EC4N+1SP",Other information technology service activities,26.4,13.0
ELEVATE PORTFOLIO SERVICES LIMITED,"14th+Floor+30+St+Mary+Axe,London,United+Kingdom,EC3A+8BF",Financial intermediation not elsewhere classified,25.0,38.0
ENVIRONMENTAL RESOURCES MANAGEMENT LIMITED,"2nd+Floor+Exchequer+Court,33+St.+Mary+Axe,London,United+Kingdom,EC3A+8AA",,29.5,31.3
Equus Petroleum PLC,"Tallis+House,Tallis+Street,London,England,EC4Y+0AB",,0.0,0.0
ERS ADMINISTRATION SERVICES LIMITED,"52+-+54+Leadenhall+Street,London,England,EC3A+2BJ",Non-life insurance,38.3,58.6
Euroclear Sa/Nv,"33+Canon+Street,London,United+Kingdom,EC4M+5SB",,30.1,37.3
EUROMONEY TRADING LIMITED,"8+Bouverie+Street,London,United+Kingdom,EC4Y+8AX",Activities of head offices,27.9,31.5
EXCEED UMBRELLA LIMITED,"1st,+Floor+69+-+70+Long+Lane,London,England,EC1A+9EJ",Other business support service activities n.e.c.,3.7,7.4
EXCHANGE HOUSE SERVICES LIMITED,"Level+1+Exchange+House,Primrose+Street,London,United+Kingdom,EC2A+2EG",Activities of head offices,38.8,44.2
Express Newspapers,"The+Northern+&+Shell+Building,Number+10+Lower+Thames+Street,London,United+Kingdom,EC3R+6EN",Publishing of newspapers,19.0,7.3
Fieldfisher LLP,"Riverbank+House,2+Swan+Lane,London,United+Kingdom,EC4R+3TT",,22.2,0.0
FIL INVESTMENT MANAGEMENT LIMITED,"25+Cannon+Street,London,England,EC4M+5TA",Activities of head offices,25.4,54.7
FIRST CORPORATE SHIPPING LIMITED,"Level+8,+71+Queen+Victoria+Street,London,United+Kingdom,EC4V+4AY",Other service activities n.e.c.,25.1,32.4
FIRST STATE INVESTMENT SERVICES (UK) LIMITED,"Finsbury+Circus+House,15+Finsbury+Circus,London,England,United+Kingdom,EC2M+7EB",Financial intermediation not elsewhere classified,30.8,57.2
FIRSTRAND BANK LIMITED (LONDON BRANCH),"Austin+Friars+House+2-6+Austin+Friars,,London,EC2N+2HD",,37.0,56.0
FRAGOMEN LLP,"95,+Gresham+Street,1st+Floor,London,England,EC2V+7NA",,0.0,22.2
Fti Consulting LLP,"200+Aldersgate+Aldersgate+Street,London,United+Kingdom,EC1A+4HD",,31.0,51.6
FUNDING CIRCLE HOLDINGS LIMITED,"71+Queen+Victoria+Street,London,England,EC4V+4AY",Other business support service activities n.e.c.,36.0,50.0
GAIN CAPITAL UK LIMITED,"Park+House,16+Finsbury+Circus,London,United+Kingdom,EC2M+7EB",Financial intermediation not elsewhere classified,24.2,44.4
GALLAGHER RISK & REWARD LIMITED,"The+Walbrook+Building,+25+Walbrook,London,EC4N+8AW",Pension funding,32.4,76.9
GAMMA TELECOM HOLDINGS LIMITED,"5,+Fleet+Place,London,EC4M+7RD",,25.6,33.9
GANT UK LIMITED,"Floor+2,+Holborn+Gate,26+Southampton+Buildings,London,England,WC2A+1AN",,11.3,22.1
GB RAILFREIGHT LIMITED,"55+Old+Broad+Street,London,United+Kingdom,EC2M+1RX",Freight rail transport,31.0,91.0
GERMAN SWEDISH & FRENCH CAR PARTS LIMITED,"15th+Floor+6+Bevis+Marks,Bury+Court,London,United+Kingdom,EC3A+7BA",Wholesale trade of motor vehicle parts and accessories,4.0,0.0
GlobalData PLC,"John+Carpenter+House,John+Carpenter+Street,London,United+Kingdom,EC4Y+0AN",Activities of head offices,14.8,56.7
GLYN HOPKIN LIMITED,"10+Queen+Street+Place,London,United+Kingdom,EC4R+1AG",,-2.6,37.4
GOLDEN CHARTER LIMITED,"One+London+Wall,+London+Wall,London,England,EC2Y+5AB",Management consultancy activities other than financial management,33.0,53.0
GOLDMAN SACHS (UK) SVC. LIMITED,"Peterborough+Court,+133+Fleet+Street,London,United+Kingdom,EC4A+2BB",Other business support service activities n.e.c.,19.7,30.0
Goldman Sachs International,"Peterborough+Court,133+Fleet+Street,London,United+Kingdom,EC4A+2BB",Financial intermediation not elsewhere classified,36.4,67.7
"GORDONSTOUN SCHOOLS,LIMITED","VEALE+WASBROUGH+VIZARDS,Barnards+Inn,86+Fetter+Lane,London,United+Kingdom,EC4A+1AD",General secondary education,17.4,0.0
GOURMET BURGER KITCHEN LIMITED,"Suite+C+1,+Lindsey+Street,London,EC1A+9HP",Licensed restaurants,12.8,0.6
GRACEWELL HEALTHCARE 1 LIMITED,"2nd+Floor+11+Old+Jewry,London,United+Kingdom,EC2R+8DU",Residential nursing care facilities,12.0,0.0
Greensleeves Homes Trust,"54+Fenchurch+Street,London,England,EC3M+3JY",Residential care activities for the elderly and disabled,1.8,8.3
GRUPO KONECTA UK LIMITED,"Milton+Gate,60+Chiswell+Street,London,United+Kingdom,EC1Y+4AG",Other business support service activities n.e.c.,0.0,0.0
GSM ASSOCIATION,"The+Walbrook+Building+2nd+Floor+25+Walbrook,,London,EC4N+8AF",,28.0,50.4
HABERDASHERS' ASKE'S ELSTREE SCHOOLS LIMITED,"Haberdashers'+Hall,+18+West+Smithfield,London,EC1A+9HA",Educational support services,10.6,0.0
HACHETTE UK LIMITED,"Carmelite+House,+50+Victoria+Embankment,London,EC4Y+0DZ",Book publishing,24.7,62.6
HARD ROCK CAFE (UK) LIMITED,"Cannon+Place,+78+Cannon+Street,London,England,EC4N+6AF",Licensed restaurants,3.2,44.0
HARRY RAMSDEN'S LIMITED,"1st+Floor+(North),+Chancery+House,53-64+Chancery+Lane,London,England,WC2A+1QS",Licensed restaurants,0.3,-1134.0
Harvey Nash Group PLC,"110+Bishopsgate,London,United+Kingdom,EC2N+4AY",Other service activities n.e.c.,17.9,57.5
HC FACILITY MANAGEMENT LIMITED,"Foot+Anstey+Llp,+36-38+Cornhill,London,United+Kingdom,EC3V+3NG",Other business support service activities n.e.c.,41.2,-100.0
HCC SERVICE COMPANY INC,"1,+Aldgate,London,EC3N+1RE",,46.3,56.5
HEALTH-ON-LINE COMPANY UK LIMITED,"5+Old+Broad+Street,London,United+Kingdom,EC2N+1AD",Activities of insurance agents and brokers,22.0,29.0
HENDERSON ADMINISTRATION LIMITED,"201+Bishopsgate,London,United+Kingdom,EC2M+3AE",Activities of head offices,32.7,64.0
HERMES FUND MANAGERS LIMITED,"Sixth+Floor,+150+Cheapside,London,England,EC2V+6ET",Financial intermediation not elsewhere classified,24.4,56.7
HICP LIMITED,"35+Great+St+Helen's,London,United+Kingdom,EC3A+6AP",Hotels and similar accommodation,2.9,0.0
HIGOS INSURANCE SERVICES LIMITED,"2nd+Floor+50+Fenchurch+Street,London,United+Kingdom,EC3M+3JY",Non-life insurance,44.0,-43.0
HISCOX UNDERWRITING GROUP SERVICES LIMITED,"1+Great+St+Helens,London,United+Kingdom,EC3A+6HX",Activities of business and employers membership organizations,26.2,49.5
HITACHI CONSULTING UK LIMITED,"Harmsworth+House,13-15+Bouverie+Street,London,England,EC4Y+8DP",Other information technology service activities,30.3,51.5
HITACHI RAIL EUROPE LIMITED,"40+Holborn+Viaduct,London,United+Kingdom,EC1N+2PB","Passenger rail transport, interurban",-0.6,9.1
HOBBS FASHION HOLDINGS LIMITED,"Milton+Gate,60+Chiswell+Street,London,United+Kingdom,EC1Y+4AG",Activities of head offices,21.0,-105.0
Holman Fenwick Willan LLP,"Friary+Court,65+Crutched+Friars,London,United+Kingdom,EC3N+2AE",,30.9,54.1
HSB ENGINEERING INSURANCE LIMITED,"New+London+House,+6+London+Street,London,EC3R+7LP",,27.0,49.0
HUBBELL LIMITED,"Cannon+Place,+78+Cannon+Street,London,United+Kingdom,EC4N+6AF",Wholesale of other machinery and equipment,20.4,70.0
